Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
786534,361357.2,10199.4,951,567.75391,0.029193142,25.15839,10.469231,42.065407,3.7088671,392.3407,494.36142,12320.329,222702.12
786535,361357.2,10200,942,553.17108,0.02804349,24.013523,9.6409473,45.328121,3.730675,395.09024,497.87308,11600.415,196135.92
786536,361357.2,10200.6,1002,580.53314,0.023530206,18.566196,10.773618,64.049507,3.7524829,448.90173,556.80811,13389.952,267126.84
786537,361357.2,10201.2,1052,605.69336,0.026953449,12.839845,11.612641,63.956604,3.7742908,424.30719,531.4032,14806.387,319343.03
786538,361357.2,10201.8,1035,629.14337,0.023904772,7.4408607,12.544984,64.028641,3.7960987,467.70309,575.09216,14043.674,290745
786539,361357.2,10202.4,1001,654.32617,0.020040147,2.8393908,13.961802,64.284477,3.8179066,531.74799,640.54791,12841.949,255952.44
786540,361357.2,10203,975,627.89081,0.020046679,357.60916,12.62969,64.363426,3.8397145,512.38562,627.37292,11928.413,226438.2
786541,361357.2,10203.6,1022,612.83331,0.021982757,357.35489,11.11631,56.127659,3.8615224,476.30957,591.8819,13403.459,279359.28
786542,361357.2,10204.2,1051,612.97223,0.018277632,0.12493968,11.115685,63.408287,3.8833303,537.80542,649.18036,14212.533,310107.59
786543,361357.2,10204.8,1044,600.17572,0.021502906,355.76572,10.45833,62.958397,3.9053009,485.40186,592.237,13475.055,266718.25
786544,361357.2,10205.4,1057,597.60968,0.020171171,351.66254,10.902749,64.646019,3.6922736,499.36746,610.16626,14074.361,298413.38
786545,361357.2,10206,996,586.92688,0.021901606,349.4263,10.380127,52.282295,3.0930173,466.19876,580.30853,11932.031,214123.31
786546,361357.2,10206.6,993,577.12585,0.019239003,345.59174,10.232538,51.994785,2.4941187,504.45801,613.97247,12112.9,222399.36
786547,361357.2,10207.2,994,596.16815,0.02097038,342.6828,12.37411,64.838257,1.8959166,487.76663,597.70404,13191.172,294261.12
786548,361357.2,10207.8,966,608.00635,0.019379953,339.2793,13.60221,64.9133,1.2993735,516.61261,627.88867,12839.229,295340.03
786549,361357.2,10208.4,896,578.77332,0.018357104,333.116,13.019359,50.269299,0.70869136,522.14819,629.44397,10700.975,198537.48
